,,,accuracy,precision,recall,f1
LogisticRegression,Lasso,Mean,0.7755737704918032,0.8076705540795828,0.8243650793650794,0.8138677811437974
LogisticRegression,Lasso,Std,0.03274341380401538,0.0438593013277192,0.054803354453537234,0.028297488485306575
LogisticRegression,PCA,Mean,0.762431693989071,0.8032711068512285,0.8047619047619048,0.8000677214381616
LogisticRegression,PCA,Std,0.041631535848332415,0.05135033468688085,0.08230277355989468,0.0409161976507886
LogisticRegression,F_Score,Mean,0.7722950819672131,0.7852627028362607,0.85515873015873,0.8174852608436914
LogisticRegression,F_Score,Std,0.04006925385333032,0.04096874384707366,0.04934855284020518,0.030717349887078044
LDA,Lasso,Mean,0.7639890710382513,0.7826046656959039,0.8381746031746031,0.8075070313494953
LDA,Lasso,Std,0.03990545427056156,0.026983141914411493,0.07723282525618336,0.040081329231580386
LDA,PCA,Mean,0.729207650273224,0.7369455344057547,0.8520634920634921,0.788967145185222
LDA,PCA,Std,0.03085120514129085,0.027121569974970946,0.05830843870044494,0.02751550229595165
LDA,F_Score,Mean,0.735846994535519,0.7233486500871197,0.9052380952380952,0.8037315615205799
LDA,F_Score,Std,0.0384648220632206,0.03350094537699119,0.02568340297173675,0.026024531394272476
DecisionTree,Lasso,Mean,0.8155464480874317,0.8369700230211017,0.8633333333333335,0.8482376317227844
DecisionTree,Lasso,Std,0.01943598780370321,0.040863593430127534,0.039063101847215405,0.012424996830787993
DecisionTree,PCA,Mean,0.7325956284153006,0.7668737256075782,0.7992857142857144,0.7790772645468486
DecisionTree,PCA,Std,0.055266011430797866,0.0533574482676742,0.09153408951841786,0.05187455828073533
DecisionTree,F_Score,Mean,0.7822404371584699,0.7937035191808752,0.8606349206349206,0.825283262331431
DecisionTree,F_Score,Std,0.05233206976029516,0.046075401310056094,0.0433629760813693,0.03980328064450232
RandomForest,Lasso,Mean,0.8354918032786885,0.8426666253100972,0.894126984126984,0.8666388528592496
RandomForest,Lasso,Std,0.029564419722932216,0.039392158376224236,0.032462548920078806,0.02124322027097753
RandomForest,PCA,Mean,0.7475956284153005,0.7864600741734549,0.7964285714285715,0.787990461227696
RandomForest,PCA,Std,0.04992152460861059,0.0494079110365803,0.09031679777702147,0.04932100814081033
RandomForest,F_Score,Mean,0.8155191256830602,0.836804759478861,0.8633333333333333,0.8482683361381707
RandomForest,F_Score,Std,0.0531740320009491,0.05679230252080957,0.053989024947805934,0.041772725585479946
SVM,Lasso,Mean,0.7807103825136611,0.868529030881972,0.7491269841269841,0.8012870533121234
SVM,Lasso,Std,0.04006180092479759,0.04627453876177534,0.0762478702476938,0.042815049347085875
SVM,PCA,Mean,0.734207650273224,0.8243658301158302,0.7128571428571429,0.7605363325079273
SVM,PCA,Std,0.03947927653847111,0.06166092034648095,0.07148657257100179,0.040494331188680344
SVM,F_Score,Mean,0.7789617486338798,0.8507139993270417,0.7714285714285714,0.8068338845658893
SVM,F_Score,Std,0.05146949254214492,0.0703041838361854,0.04867221621099038,0.04061671828055621
